id,name,image_url,price,saleprice,url,category,type
23039783-1,Calvin Klein Eternity Women EDP - 100 ml,http://img.fkcdn.com/image/perfume/d/p/t/eau-de-parfum-calvin-klein-100-eternity-women-400x400-imaeg83rgzmy7uea.jpeg,5800,5800,https://www.flipkart.com/calvin-klein-eternity-women-edp-100-ml/p/itmekqg3j5stqzmf?pid=PERDYZ9H2YT2UDPT&affid=affiliate7&affExtParam1=site, Beauty & Health  ,popular
33806099-1,Roberto Cavalli Roberto Cavalli Gold Eau de Parfum - 75 ml,http://img.fkcdn.com/image/perfume/r/3/a/eau-de-parfum-roberto-cavalli-75-roberto-cavalli-gold-400x400-imaeffajzysqhjeh.jpeg,5250,3800,https://www.flipkart.com/roberto-cavalli-gold-eau-de-parfum-75-ml/p/itmef6gjjwfy3aqj?pid=PEREF6GJUBGGMR3A&affid=affiliate7&affExtParam1=site, Beauty & Health  ,popular
5918794-4,Catwalk Women Black Sandals,"http://assets.myntassets.com/,q_95,w_480/v1/images/style/properties/Catwalk-Women-Flats_b5e8bb0e22d2d81f6798f10eb062f80f_images.jpg",1495,598,https://www.myntra.com/flats/catwalk/catwalk-women-black-sandals/471715/buy?utm_source=cuelinks&utm_medium=affiliate, Flats,popular
13866383-3,"TYYC This Girl is Going to be a Mommy Printed Cushion Cover - 16X16 Inches, Gifts for New Moms, would be mom",http://ecx.images-amazon.com/images/I/41KZ0fdXsxL._SX425_.jpg,399,399,http://www.amazon.in/dp/B01F0Y88EA/ref=asc_df_B01F0Y88EA41294577/?tag=indiashopps-21&creative=165953&creativeASIN=B01F0Y88EA&linkCode=df0, Furniture  ,popular
39922216-1,Giftsmate Amazing Mom Mousepad,http://img.fkcdn.com/image/mousepad/d/s/p/giftsmate-amazing-mom-400x400-imaeh5pehhuwz5eq.jpeg,349,249,https://www.flipkart.com/giftsmate-amazing-mom-mousepad/p/itmeh5vrkryqjwbj?pid=ACCEH5VRCRMQ3DSP&affid=affiliate7&affExtParam1=site,Accessories,popular
39922221-1,Giftsmate Blessed with Mom Mousepad,http://img.fkcdn.com/image/mousepad/z/u/s/giftsmate-blessed-with-mom-400x400-imaeh5pevpsxbnuu.jpeg,349,249,https://www.flipkart.com/giftsmate-blessed-mom-mousepad/p/itmeh5vqegg7htqh?pid=ACCEH5VQ6SARZZUS&affid=affiliate7&affExtParam1=site,Accessories,popular
1043923-3,Philips HP8100/06 Hair Dryer,https://images-eu.ssl-images-amazon.com/images/I/31kznaPcZQL._SL160_.jpg,775,651,http://www.amazon.in/dp/B005YVU672/ref=asc_df_B005YVU67241293636/?tag=indiashopps-21&creative=165953&creativeASIN=B005YVU672&linkCode=df0,Accessories  ,popular
8946973-3,Youbella Precious Gold Plated Bangle Set For Women (2.4),https://images-eu.ssl-images-amazon.com/images/I/61UpHaVj6BL._SL160_.jpg,999,299,http://www.amazon.in/dp/B01E60WY7G/ref=asc_df_B01E60WY7G38843129/?tag=indiashopps-21&creative=165953&creativeASIN=B01E60WY7G&linkCode=df0,Bangles,popular
16503439-3,YouBella Gold Plated Bangles Jewellery For Girls/Women (2.4),https://images-eu.ssl-images-amazon.com/images/I/41j0AeE9GJL._SL160_.jpg,999,329,http://www.amazon.in/dp/B01N98XOJ7/ref=asc_df_B01N98XOJ738843129/?tag=indiashopps-21&creative=165953&creativeASIN=B01N98XOJ7&linkCode=df0,Bangles,popular
7162850-3,Yellow Chimes Rich Royal Blue Crystal High Grade Cz Chain Bracelet For Women,https://images-eu.ssl-images-amazon.com/images/I/51qmerd-mEL._SL160_.jpg,3450,999,http://www.amazon.in/dp/B00ZXN3STO/ref=asc_df_B00ZXN3STO38843129/?tag=indiashopps-21&creative=165953&creativeASIN=B00ZXN3STO&linkCode=df0,Bangles,popular
